Name,Year,Director,خفن,Type,Animation,Comment,URL,Casts
Big Hero 6,2014,"Don Hall, Chris Williams",,Movie,Is Animation,,https://www.imdb.com//title/tt2245084/?ref_=fn_al_tt_1,"Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller, Jamie Chung, Damon Wayans Jr., Genesis Rodriguez, James Cromwell, Alan Tudyk, Maya Rudolph, Abraham Benrubi, Katie Lowes, Billy Bush, Daniel Gerson, Paul Briggs, Charlotte Gulezian, David Shaughnessy, Kirk Baily, Reed Buck, June Christopher, Cam Clarke, Roy Conli, Cooper Cowgill, David Cowgill, Marlie Crisafulli, Terri Douglas, Jackie Gonneau, Nicholas Guest, Bridget Hoffman, Kelly Hoover, Leah Latham, James Taku Leung, Yuri Lowenthal, Tim Mertens, Yumi Mizui, Brian R. Norris, Sundra Oakley, Marcella Lentz-Pope, Michael Powers, Lynwood Robinson, Shane Sweet, Josie Trinidad, Stan Lee"
Coco,2017,"Lee Unkrich, Adrian Molina",,Movie,Is Animation,,https://www.imdb.com//title/tt2380307/?ref_=fn_al_tt_1,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renee Victor, Jaime Camil, Alfonso Arau, Herbert Siguenza, Gabriel Iglesias, Lombardo Boyar, Ana Ofelia Murguía, Natalia Cordova-Buckley, Selene Luna, Edward James Olmos, Sofía Espinosa, Carla Medina, Dyana Ortelli, Luis Valdez, Blanca Araceli, Salvador Reyes, Cheech Marin, Octavio Solis, John Ratzenberger"
Despicable Me,2010,"Pierre Coffin, Chris Renaud",,Movie,Is Animation,,https://www.imdb.com//title/tt1323594/?ref_=fn_al_tt_1,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews, Will Arnett, Kristen Wiig, Miranda Cosgrove, Dana Gaier, Elsie Fisher, Pierre Coffin, Chris Renaud, Jemaine Clement, Jack McBrayer, Danny McBride, Mindy Kaling, Rob Huebel, Ken Daurio, Ken Jeong, Charles Bright, Katie Leigh, Ranjani Brow, Scott Menville, Holly Dorff, Edie Mirman, Jackie Gonneau, Al Rodrigo, Wendy Hoffman, Jakob Roston, James Kyson, John Hans Tester, Tony Lee, Debi Mae West"
Finding Dory,2016,"Andrew Stanton, Angus MacLane",,Movie,Is Animation,,https://www.imdb.com//title/tt2277860/?ref_=fn_al_tt_1,"Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson, Hayden Rolence, Ty Burrell, Diane Keaton, Eugene Levy, Sloane Murray, Idris Elba, Dominic West, Bob Peterson, Kate McKinnon, Bill Hader, Sigourney Weaver, Alexander Gould, Torbin Xan Bullock, Andrew Stanton, Katherine Ringgold, Lucia Geddes, Bennett Dammann, John Ratzenberger, Angus MacLane, Willem Dafoe, Brad Garrett, Allison Janney, Austin Pendleton, Stephen Root, Vicki Lewis, Jerome Ranft, David Arnott, Veronika Bonell, Doug Burch, Cathy Cavadini, Will Collyer, Liza Seneca, Judi M. Durand, Deb Fink, Aaron Fors, Willow Geer, Carter Hastings, Aaron Hendry, Andy Hirsch, Barbara Harris, Dara Iruka, Molly Jackson, Daniella Jones, Carlyle King, Riley Lio, Jeremy Maxwell, Daniel Edward Mora, Dylan Naber, Jason Pace, Carrie Paff, Paige Nan Pollack, Alex Puccinelli, David Randolph, Terrell Ransom Jr., Emma Shannon, Gunnar Sizemore, Regina Taufen, Nancy Truman, Andreana Weiner, Ashlyn Faith Williams, Dashell Zamm"
Finding Nemo,2003,"Andrew Stanton, Lee Unkrich",,Movie,Is Animation,,https://www.imdb.com//title/tt0266543/?ref_=fn_al_tt_1,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Brad Garrett, Allison Janney, Austin Pendleton, Stephen Root, Vicki Lewis, Joe Ranft, Geoffrey Rush, Andrew Stanton, Elizabeth Perkins, Nicholas Bird, Bob Peterson, Barry Humphries, Eric Bana, Bruce Spence, Bill Hunter, LuLu Ebeling, Jordan Ranft, Erica Beck, Erik Per Sullivan, John Ratzenberger"
Happy Feet,2006,"George Miller, Warren Coleman, Judy Morris",,Movie,Is Animation,,https://www.imdb.com//title/tt0366548/?ref_=fn_al_tt_1,"Carlos Alazraqui, Lombardo Boyar, Jeffrey Garcia, Johnny A. Sanchez, Robin Williams, Elijah Wood, Brittany Murphy, Hugh Jackman, Nicole Kidman, Hugo Weaving, Elizabeth Daily, Magda Szubanski, Miriam Margolyes, Fat Joe, Alyssa Shafer, Cesar Flores, Anthony LaPaglia, Danny Mann, Mark Klastorin, Michael Cornacchia, Steve Irwin, Nick McKay, Tiriel Mora, Richard Carter, Lee Perry, Alan Shearman, Larry Moss, Peter Carroll, Giselle Loren, Michelle Arthur, Denise Blasor, Roger Rose, Dee Bradley Baker, Chrissie Hynde, Charlotte Gillman, Warren Coleman, Felix Williamson, Carly Andrews, Cassandra Swaby, Winston Cooper, Henry Nixon, Kelly Tracey, Yann Le Berre, Belinda Bromilow, Alan Zitner, Dasi Ruz, Helmut Bakaitis, Simon Westaway, J. Grant Albrecht, Logan Arens, Charles Bartlett, Shane Baumel, T.J. Beacom, Kwesi Boakye, A.J. Buckley, Erin Chambers, Rickey D'Shon Collins, Scotty Cox, Django Craig, Nicholas DeLaurentis, Olivia DeLaurentis, Chris Edgerly, Efrain Figueroa, Jeff Fischer, Sonje Fortag, Spencer Lacey Ganus, Khamani Griffin, Khadijah Haqq, Aldis Hodge, Fisher Keene, Arif S. Kinchen, Michael Krepack, Libby Lynch, Diane Michelle, Ryan Munck, Christian Pikes, Steve Pinto, Zoë Raye, Noreen Reardon, Eliana Reyes, Nicole Richmond, Aimee Roldan, Kyndell Rose Crowell, Alyssa Smith, Mari Weiss, Billy 'Sly' Williams, Rachel York"
Home 2015,2015,Tim Johnson,,Movie,Is Animation,,https://www.imdb.com//title/tt2224026/?ref_=fn_al_tt_1,"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez, Matt Jones, Brian Stepanek, April Lawrence, Stephen Kearin, Lisa Stewart, April Winchell"
Hotel transylvania,2012,Genndy Tartakovsky,,Movie,Is Animation,,https://www.imdb.com//title/tt0837562/?ref_=fn_al_tt_1,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, Fran Drescher, Steve Buscemi, Molly Shannon, David Spade, CeeLo Green, Jon Lovitz, Brian George, Luenell, Brian Stack, Chris Parnell, Jackie Sandler, Sadie Sandler, Robert Smigel, Rob Riggle, Paul Brittain, Jonny Solomon, Jim Wise, Craig Kellman, Brian McCann, James C.J. Williams, Rose Abdoo, Steve Alterman, Kirk Baily, Dana Belben, Meira Blinkoff, Ranjani Brow, Corey Burton, William Calvert, Cam Clarke, Michael Corbett, Allen Covert, Rachel Crane, Doug Dale, Collin Dean, Eddie Frierson, Bridget Hoffman, Wendy Hoffman, Rif Hutton, Tom Kenny, Darrin Lackey, Ashley Lambert, Scott Menville, Edie Mirman, Jon Olson, Jessica Pennington, Alec Rosenthal, Judith Sandler, Sunny Sandler, Katie Silverman, Warren Sroka, Melissa Sturm, John Hans Tester, Sarah Thyre, Chris Titone, David Zyler"
How to train your dragon,2010,"Dean DeBlois, Chris Sanders",,Movie,Is Animation,,https://www.imdb.com//title/tt0892769/?ref_=fn_al_tt_1,"Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill, Christopher Mintz-Plasse, T.J. Miller, Kristen Wiig, Robin Atkin Downes, Philip McGrade, Kieron Elliott, Ashley Jensen, David Tennant"
Howl's moving castle ,2004,Hayao Miyazaki,,Movie,is Animation,,https://www.imdb.com//title/tt0347149/?ref_=fn_al_tt_1,"Chieko Baisho, Takuya Kimura, Akihiro Miwa, Tatsuya Gashûin, Ryunosuke Kamiki, Mitsunori Isaki, Yô Ôizumi, Akio Ôtsuka, Daijirô Harada, Haruko Katô, Jean Simmons, Christian Bale, Lauren Bacall, Blythe Danner, Emily Mortimer, Josh Hutcherson, Billy Crystal, Jena Malone, Crispin Freeman, Mark Silverman, Mari Devon, Liliana Mumy, Carlos Alazraqui, Newell Alexander, Rosemary Alexander, Julia Barnett, Susanne Blakeslee, Leslie Carrara-Rudolph, Mitch Carter, David Cowgill, Holly Dorff, Moosie Drier, Ike Eisenmann, Will Friedle, Bridget Hoffman, Richard Steven Horvitz, Sherry Hursey, Hope Levy, Christina MacGregor, Joel McCrary, Edie Mirman, Peter Renaday, Kristen Rutherford, Warren Sroka"
Inside out,2015,"Pete Docter, Ronnie Del Carmen",*,Movie,Is Animation,,https://www.imdb.com//title/tt2096673/?ref_=fn_al_tt_1,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black, Mindy Kaling, Kaitlyn Dias, Diane Lane, Kyle MacLachlan, Paula Poundstone, Bobby Moynihan, Paula Pell, Dave Goelz, Frank Oz, Josh Cooley, Flea, John Ratzenberger, Carlos Alazraqui, Peter Sagal, Rashida Jones, Lori Alan, Gregg Berger, Aurora Blue, Veronika Bonell, Lola Cooley, John Cygan, Dani Dare, Andrea Datzman, Ronnie Del Carmen, Pete Docter, Keith Ferguson, Tony Fucile, Mary Gibbs, Randy Hahn, Carter Hastings, Jacob Hopkins, Emma Hudak, Evan Hudak, Dara Iruka, Molly Jackson, Daniella Jones, Sophia Lee Karadi, Elissa Knight, Erik Langley, Dawnn Lewis, Sherry Lynn, Tony Maki, Mona Marshall, Laraine Newman, Bret 'Brook' Parker, Nick Pitera, Phil Proctor, Murray Pearl Schaeffer, Patrick Seitz, Paris Van Dyke, Jim Ward, Lennon Wynn, Dashell Zamm"
Kung Fu Panda,2008,"Mark Osborne, John Stevenson",,Movie,Is Animation,,https://www.imdb.com//title/tt0441773/?ref_=fn_al_tt_1,"Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane, Jackie Chan, Seth Rogen, Lucy Liu, David Cross, Randall Duk Kim, James Hong, Dan Fogler, Michael Clarke Duncan, Wayne Knight, Kyle Gass, JR Reed, Laura Kightlinger, Tanya Haden, Stephen Kearin, Mark Osborne, John Stevenson, Jeremy Shipp, Melissa Cobb, Kent Osborne, Emily Burns, Stephanie Harvey, Riley Osborne"
Madagascar,2005,"Eric Darnell, Tom McGrath",,Movie,Is Animation,,https://www.imdb.com//title/tt0351283/?ref_=fn_al_tt_1,"Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen, Cedric the Entertainer, Andy Richter, Tom McGrath, Christopher Knights, Chris Miller, Conrad Vernon, Eric Darnell, David Cowgill, Steve Apostolina, Elisa Gabrielli, Devika Parikh, David P. Smith, Cody Cameron, Bob Saget"
Manou the Swift,2019,"Andrea Block, Christian Haas",,Movie,Is Animation,,https://www.imdb.com//title/tt4153828/?ref_=fn_al_tt_1,"Kate Winslet, Willem Dafoe, Josh Keaton, Cassandra Steen, Mikey Kelley, David Shaughnessy, Arif S. Kinchen, Nolan North, Julie Nathanson, Rob Paulsen, Kimberly Brooks, Marianne Kelly, Steve Blum, Simon Brendel, Yaron Mesika"
Minions,2015,"Kyle Balda, Brad Ableson, Jonathan del Val",,Movie,Is Animation,,https://www.imdb.com//title/tt5113044/?ref_=fn_al_tt_1,"Steve Carell, Pierre Coffin, Alan Arkin, Taraji P. Henson, Michelle Yeoh, Julie Andrews, Russell Brand, Jean-Claude Van Damme, Dolph Lundgren, Danny Trejo, Lucy Lawless, Jimmy O. Yang, Kevin Michael Richardson, John DiMaggio, RZA, Michael Beattie, Will Arnett, Steve Coogan, Colette Whitaker, Raymond S. Persi, Kyle Balda, Bob Bergen, Beau Billingslea, Catherine Cavadini, David Chen, Will Collyer, Meilee Condron, Antonio Raul Corbo, Debi Derryberry, Scarlett Estevez, Kellen Goff, Jake Green, Isa Hall, Ramone Hamilton, Aaron Hendry, Barbara Harris, JP Karliak, Evan Kishiyama, Sam Lavagnino, Dawnn Lewis, Amari McCoy, Levi Nunez, Benjamin Plessala, Alex Puccinelli, David Randolph, Carla Rempp, Nev Scharrel, James Sie, Mindy Sterling, Fred Tatasciore, Regina Taufen, Nisa Ward, Debra Wilson, Nora Wyman"
Moana,2016,"Ron Clements, John Musker, Don Hall, Chris Williams",,Movie,Is Animation,,https://www.imdb.com//title/tt3521164/?ref_=fn_al_tt_1,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison, Jemaine Clement, Nicole Scherzinger, Alan Tudyk, Oscar Kightley, Troy Polamalu, Puanani Cravalho, Louise Bush"
