Name,Year,Director,خفن,Type,Animation,Comment
Big Hero 6,2014,,,Movie,Is Animation,
Coco,2017,,,Movie,Is Animation,
Despicable Me,2010,,,Movie,Is Animation,
Finding Dory,2016,,,Movie,Is Animation,
Finding Nemo,2003,,,Movie,Is Animation,
Happy Feet,2006,,,Movie,Is Animation,
Home 2015,2015,,,Movie,Is Animation,
Hotel transylvania,2012,,,Movie,Is Animation,
How to train your dragon,2010,,,Movie,Is Animation,
Howl's moving castle ,2004,,,Movie,is Animation,
Inside out,2015,,*,Movie,Is Animation,
Kung Fu Panda,2008,,,Movie,Is Animation,
Madagascar,2005,,,Movie,Is Animation,
Manou the Swift,2019,,,Movie,Is Animation,
Minions,2015,,,Movie,Is Animation,
Moana,2016,,,Movie,Is Animation,
"Monster, inc",2001,,,Movie,Is Animation,
Monsters vs. Aliens,2009,,,Movie,Is Animation,
Open season,2006,,,Movie,Is Animation,
Paprika,2006,,*,Movie,Is Animation,
ParaNorman,2012,,,Movie,Is Animation,
Rango,2011,,,Movie,Is Animation,
Raya and the Last Dragon,2021,,,Movie,Is Animation,
Shaun the Sheep,2015,,,Movie,Is Animation,
Shrek,2001,,,Movie,Is Animation,
Sing,2016,,,Movie,Is Animation,
Small Foot,2018,,,Movie,Is Animation,
Soul,2020,,*,Movie,Is Animation,
The boss baby,2017,,,Movie,Is Animation,
The Croods,2013,,*,Movie,Is Animation,
The Mitchells vs The Machines,2021,,,Movie,Is Animation,
The secret life of pets,2016,,,Movie,Is Animation,
The Secret World of Arrietty,2010,,,Movie,Is Animation,
The SpongBob SquarePants,2004,,,Movie,Is Animation,
Toy Story,1995,,,Movie,Is Animation,
Up,2009,,,Movie,Is Animation,
Wall-E,2008,,*,Movie,Is Animation,
Weathering With You,2019,,,Movie,Is Animation,
Your Name,2016,,*,Movie,Is Animation,
Zootopia,2016,,,Movie,Is Animation,
Attack on Titans,2013,,,Series,Is Animation,
Death note,2006,,,Series,Is Animation,
Love Death & Robot,2019,,*,Series,Is Animation,
Oggy and the Cockroaches 1997,1997,,,Series,Is Animation,
Rick and morty,2013,,*,Series,Is Animation,
1917,2019,,,Movie,IsNot,
12 Angry men,1957,,*,Movie,IsNot,
21 Grams,2003,,:D,Movie,IsNot,
21 Jump Street,2012,,,Movie,IsNot,
22 Jump Street,2014,,,Movie,IsNot,
500 Days of Summer,2009,,,Movie,IsNot,
A Beautiful Mind,2001,,,Movie,IsNot,
A Star is Born,2018,,,Movie,IsNot,
Amelie,2001,,,Movie,IsNot,
American Beauty,1999,,,Movie,IsNot,
American Hustle,2013,,,Movie,IsNot,
American Psycho,2000,,,Movie,IsNot,
Anger Managment,2003,,,Movie,IsNot,
Another Round (Drunk),2020,,,Movie,IsNot,
August Osage County,2013,,,Movie,IsNot,
Awakenings,1990,,,Movie,IsNot,
Babel,2006,,,Movie,IsNot,
Bad Teacher,2011,,:D,Movie,IsNot,
Bird Box,2018,,,Movie,IsNot,
BitterMoon,1992,,,Movie,IsNot,
Black Swan,2010,,,Movie,IsNot,
Bohemian Rhapsody,2018,,,Movie,IsNot,
Boyhood,2014,,,Movie,IsNot,
Braveheart,1995,,,Movie,IsNot,
Brokeback Mountain,2005,,,Movie,IsNot,
Call Me By Your Name,2017,,,Movie,IsNot,
Captain fantastic,2016,,,Movie,IsNot,
Cinema Paradiso,1988,,,Movie,IsNot,
Clockwork Orange,1971,,,Movie,IsNot,
Closer,2004,,,Movie,IsNot,
Cloud Atlas,2012,,,Movie,IsNot,
Coherence,2013,,*,Movie,IsNot,
Constantine,2005,,,Movie,IsNot,
Crazy Stupid Love,2011,,:D,Movie,IsNot,
Dallas Buyers Club,2013,,,Movie,IsNot,
Damage,1992,,,Movie,IsNot,
Dark Crimes,2016,,,Movie,IsNot,
Dead poet society,1989,,*,Movie,IsNot,
Demolition,2015,,,Movie,IsNot,
Disconnect,2012,,,Movie,IsNot,
Divergent,2014,,,Movie,IsNot,
Doctor strange,2016,,,Movie,IsNot,
Downsizing,2017,,,Movie,IsNot,
Due Date,2010,,,Movie,IsNot,
Eternal sunshine of the spotless mind,2010,,*,Movie,IsNot,
Exam,2009,,,Movie,IsNot,
Eyes Wide Shut,1999,,,Movie,IsNot,
Fight club,1999,,*,Movie,IsNot,
First Man,2018,,,Movie,IsNot,
Focus,2015,,,Movie,IsNot,
Forrest Gump,1994,,,Movie,IsNot,
Get Out,2017,,,Movie,IsNot,
Gia,1998,,,Movie,IsNot,
Gone Girl,2014,,,Movie,IsNot,
Good Will Hunting,1997,,,Movie,IsNot,
Gravity,2013,,,Movie,IsNot,
Green book,2018,,,Movie,IsNot,
Hangover,2009,,:D,Movie,IsNot,
Happy Death Day,2017,,,Movie,IsNot,
Her,2013,,,Movie,IsNot,
In Time,2011,,,Movie,IsNot,
Inception,2010,,*,Movie,IsNot,
Interstellar,2014,,*,Movie,IsNot,
Irreversible,2002,,,Movie,IsNot,
Isn't it romantic,2019,,:D,Movie,IsNot,
It's a Wonderful Life,2019,,,Movie,IsNot,
Joker,2019,,*,Movie,IsNot,
John Wick 2014,2014,,,Movie,IsNot,
Johnny English Strikes Again,2018,,:D,Movie,IsNot,
Knives Out,2019,,,Movie,IsNot,
Last Christmas,2019,,,Movie,IsNot,
Leave No Trace,2018,,,Movie,IsNot,
Limitless,2011,,,Movie,IsNot,
Little Miss Sunshine,2006,,,Movie,IsNot,
Locke,2015,,,Movie,IsNot,
Long Shot,2019,,,Movie,IsNot,
Lost in Translation,2003,,,Movie,IsNot,
Love 2015,2015,,,Movie,IsNot,
Lucy 2014,2014,,,Movie,IsNot,
Mad Max,2015,,,Movie,IsNot,
Malena,2000,,,Movie,IsNot,
Me Before You,2016,,,Movie,IsNot,
Meet the Fockers,2004,,,Movie,IsNot,
Meet the Parents,2000,,,Movie,IsNot,
Memento,2000,,*,Movie,IsNot,
Midnight Run,1988,,,Movie,IsNot,
Million Dollar Baby,2004,,,Movie,IsNot,
Minari,2020,,,Movie,IsNot,
Mistres America,2015,,,Movie,IsNot,
Mother,2017,,,Movie,IsNot,
Move 43,2013,,,Movie,IsNot,
Mr Nobody,2009,,,Movie,IsNot,
Nightcrawler,2014,,,Movie,IsNot,
No Country for Old men,2007,,,Movie,IsNot,
Nomadland,2021,,,Movie,IsNot,
Nothing To Hide,2018,,,Movie,IsNot,
Now you see me,2013,,,Movie,IsNot,
Now You See Me 2,2013,,,Movie,IsNot,
Number 23,2016,,,Movie,IsNot,
Oceans 8 2018,2018,,:D,Movie,IsNot,
Palm Spring,2020,,:D,Movie,IsNot,
Parasite,2019,,*,Movie,IsNot,
Patch Adams,1998,,,Movie,IsNot,
Peaceful Warrior,2006,,,Movie,IsNot,
Phantom Thread,2017,,,Movie,IsNot,
Pi,1998,,,Movie,IsNot,
PK,2014,,,Movie,IsNot,
Promising young woman ,2022,,,Movie,IsNot,
Predestination,2014,,*,Movie,IsNot,
Prestige,2006,,,Movie,IsNot,
